class,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
1,6.238755,3.6178567,2.9728283,587.1290759,1255.46077,6212,1.47768
1,3.2947689,1.7483103,2.5248559,56.9377632,700.5995436,3853,0.62326
1,0.7645807,1.07057,1.2407226,399.2723837,1140.084569,3853,0.62326
1,12.6396982,3.3830702,4.6025162,39.6563977,640.0266601,5217,0.789425
1,1.7208555,1.8346409,13.4646314,2259.389668,1758.399429,5832.83,1.33402
1,4.7802597,1.4588658,7.6126429,1770.015134,1654.298952,5826,2.3387201
1,0.3814849,0.565,2.0605,931.396,1539,4255,0.71
1,4.6595169,0.9011821,2.1961507,17.2664038,519.9004855,3489,0.490729
1,6.4002807,2.1559875,2.2730301,56.4368797,699.0536347,4599,0.720551
1,4.8204512,1.756,2.36747,17.8782,572,3692,0.52
1,18.6548829,5.4431451,4.3869878,27.832077,585.8091542,5141,0.876154
1,4.3074513,2.3379196,3.2819879,196.4755358,954.8757629,5141,0.876154
1,5.9041278,2.7678313,2.4489454,129.0410781,859.6105665,5141,0.876154
1,37.9251983,3.5345219,3.241643,10.8068346,462.4282696,5141,0.876154
1,15.9234883,4.021,2.18203,48.5414,735,5711.85,1.08
1,4.3601536,2.3408909,6.9564258,202.0738994,961.6063113,5227,0.874131
1,13.0791581,2.97,3.25485,48.6058,735,5453,1
1,4.6517186,2.709,2.66889,540.772,1343,5154,0.85
1,9.1549418,2.457,2.62011,42.2592,710,5154,0.85
1,19.9815709,2.724,2.54717,16.5853,562,5154,0.85
0,1.4415044,0.9274524,3.8345209,5519.1845,2198.307682,6603,1.58365
1,1.1219715,0.8226121,3.9968417,1132.461295,1479.536186,5780,0.624
0,4.6756655,1.914,4.03134,230.204,1085,5779,1.45
1,10.288886,1.391,2.63881,9.06856,483,5126,0.87
0,1.0332441,3.8017836,4.087988,16.7778791,516.1833775,2972,0.156193
1,5.4526479,3.401,14.5502,433.78,1271,6509,1.57
1,10.2613397,4.855,3.60391,372.358,1152,6124,1.49
1,3.4779776,2.5103489,12.5541925,153.1388971,897.2038496,4699,0.765001
1,3.0354017,2.8809533,14.1334903,726.7556694,1324.240471,5751,1.07224
1,3.1274634,1.9812695,2.5802896,103.2675998,813.0378617,4225,0.693431
1,7.4931613,1.9339295,2.7733674,32.2107098,607.6028794,4225,0.693431
1,49.825166,3.8714976,3.8319135,2.5760566,323.1161011,4225,0.693431
1,18.0574016,3.592177,3.8092663,58.1250403,704.2235859,5897,1.01
1,20.8774413,3.562,2.16145,17.8402,572,5396,0.9
1,1.0214555,1.252,1.46266,733.19,1449,5098,0.82
1,2.7441672,1.418,7.84317,172.233,1009,5040,0.97
1,2.2047452,3.996,17.9781,7992.22,2634,6532.23,1.99
1,10.8948421,2.0719394,2.4691414,5.5137471,390.8242112,3618,0.435666
1,18.8016111,1.9093524,1.9112282,2.6636757,325.8292621,3618,0.435666
1,6.7900981,6.0786576,9.7548481,477.5289979,1192.256467,6378,2.00068
1,8.157721,3.788,9.31888,91.0972,860,5091.2,0.9
1,4.2529641,2.5733867,2.3483383,231.2034004,994.5309519,5591,0.848906
1,9.2378703,2.535,2.22995,54.6767,757,5591,0.85
1,3.7955178,2.0198135,10.3261619,18.0832336,525.9431131,3424,0.445372
0,14.3034613,3.135,18.4949,15.38,551,5056.6,0.83
1,6.1349783,5.661,13.1383,861.554,1509,5828.7,2.05
1,3.3159772,1.494,4.5947,120.595,923,4972.7,0.81
1,4.6313014,1.435,9.34848,225.013,1078,5736,1.07
1,19.3203478,4.215,9.38964,13.544,534,4968.1,0.8
0,11.3246821,5.9704136,4.2917226,59.1706102,707.3693882,5518,0.824734
0,6.261169,2.0369188,1.3468319,6.9816945,414.5815396,3145,0.211257
1,14.8559691,3.711,2.72638,64.0545,788,5544,0.86
1,14.4751062,1.6182484,8.6976173,6.5402175,407.866275,3841,0.55035
1,9.6141636,3.4271882,3.2264735,74.7359105,749.8978043,5477,0.840608
1,4.9404714,1.954,2.3216,320.012,1178,6086,1.13
1,9.6926392,3.0182304,3.289074,36.4257934,626.5734732,4665,0.746003
1,6.390888,3.766,2.47201,376.532,1227,6191,1.32
1,0.9689927,2.5496309,17.1331258,6992.032823,2332.225901,6430,1.41398
1,10.338505,4.242,11.8729,110.512,903,5336.96,0.84
0,1.283251,2.012261,2.558112,172.0252913,923.6720985,3855,0.560391
0,1.2284388,1.9190118,1.866263,118.2802346,841.1003116,3526,0.53023
1,9.6001126,4.9882857,2.4070295,193.1543783,950.8147029,5891,1.2103699
1,2.6998294,2.208,4.94551,1198.41,1639,6180,0.92
0,0.581322,1.3261177,2.2014886,194.5178158,952.4881815,3446,0.38621
1,0.980972,0.5405036,5.9162923,719.5629045,1320.951709,4486,0.764401
1,5.3987355,3.127,2.25345,335.249,1192,5875.23,1.26
1,7.16199,7.668,5.05452,1230.42,1649,6229,1.81
0,1.4412175,1.666,17.0442,1160.55,1626,5672.9,1.46
1,1.6849938,0.916,3.76716,342.918,1198,5923,1.11
1,3.9152737,2.562,9.43435,311.498,1170,5714,1.58
1,3.1968838,3.7533697,14.9685779,1843.132991,1671.124929,6470,1.59715
1,3.9443668,4.8652146,14.5727196,1078.598699,1461.620826,5494,1.75475
1,4.5371361,4.042155,9.8153513,732.0077048,1326.626483,5731,1.48668
1,14.3392144,4.6064739,2.2963233,118.7538488,841.9410276,6295.7,1.1374201
1,2.8716983,4.668,18.1267,4494.25,2281,6840,1.91
1,6.0964074,2.3632965,2.5856853,69.8633506,737.3642914,4820.4,0.731699
1,5.6666168,3.604,14.8589,442.536,1277,6530,1.47
0,1.56029,2.751,18.4825,38412.5,3900,6897,2.29
0,8.8735214,4.059,6.0401,1064.98,1591,5992,1.18
0,7.6869063,4.652,23.7824,655.022,1409,5147.3,3.07
0,1.3797091,2.352,22.2329,28702.5,3626,5924,2.67
0,2.6796,2.771,11.8862,823.434,1492,5938,1.32
0,11.0765063,4.692,12.8076,189.348,1033,6460,1.86
0,2.6400663,3.368,18.2671,7719.64,2611,5155,2.72
0,2.5778717,3.472,18.687,62241.5,4400,8321,3.16
0,3.80509,3.347,8.57193,1214.11,1644,6555.5,2.35
0,2.99041,3.952,24.2511,54264.3,4252,8542,3.56
0,0.890967,1.784,2.89678,3225.32,2099,5159.2,0.87
1,2.1096805,2.1344043,3.6396725,644.2138136,1284.923458,5673,0.940806
0,1.19888,1.558,20.5525,3694.96,2172,7315,5.46
0,2.03905,2.26,6.42307,26394.8,3550,9003,2.68
0,2.9424142,4.073,9.70968,23595.1,3452,6854,1.79
0,1.0793011,2.196,3.31116,7736.05,2612,4349.3,0.67
0,4.0157492,2.706,6.47219,669.61,1417,6585,2.07
0,2.01976,3.394,7.3626,5926.69,2444,7274.6,1.72
1,8.1995368,2.1168277,1.9226211,26.2353114,577.2199136,4028,0.650533
0,2.65646,2.475,12.1711,948.066,1545,6135.4,3.98
1,4.7201912,4.416,15.2105,1112.85,1609,6696,1.8
0,4.03349,2.684,23.4514,5512.68,2400,11348,6.37
0,3.3295394,2.77,14.3988,2238,1916,7965,2.35
0,3.8615978,1.678,13.8394,2320.32,1933,7396,2.45
1,3.3448312,3.322,21.2012,4468.21,2277,9364,1.76
1,95.174,11.6316864,7.8498891,0.9938316,254.6525048,5723.2,1.51811
1,8.8803281,2.71,3.20594,60.7382,777,5555.7,0.92
1,28.580474,4.5139977,3.1455035,20.8500726,545.0001759,5555.7,0.920435
1,38.3511223,5.9120193,3.2843583,14.086845,494.1094771,5555.7,0.920435
1,1.4015183,1.1583061,1.4616853,149.3747543,891.6389885,3794,0.597007
0,8.5874668,5.1458902,5.3744721,152.0429498,895.5943008,5929,0.987583
0,6.4474918,2.643,48.9878,720.601,1443,6477.6,1.69
0,3.4040139,4.837,5.34279,81123.4,4701,9622,1.65
0,13.7432169,2.73,25.7481,176.671,1015,5941.5,1.4
1,8.47134,6.989,16.9325,3465.35,2137,5146,4.88
1,5.5025577,3.1711008,2.7049797,102.6644008,811.847988,4965,0.784109
1,1.7622537,0.8779711,2.5235818,468.5415425,1186.606643,4965,0.784109
1,0.8474218,0.8758764,1.7536544,1876.131549,1678.554981,5300,0.846387
1,4.8420438,2.4105648,1.6177405,183.6641995,938.9141348,5300,0.846387
0,2.14056,2.029,1.83828,316.156,1174,4567,0.84
1,4.1269046,4.405,17.0952,1436.49,1715,6888,1.59
1,5.5402372,7.713,17.4013,2282.41,1925,6415,3.39
0,4.4350025,2.252,9.91393,6855.78,2535,9706,1.87
0,1.4287976,2.93,9.00484,165726,5621,9224,1.65
1,2.1702725,2.1417853,15.2590586,11706.95491,2652.960208,9218,1.8527499
0,0.33759,1.351,2.96097,9164.98,2725,7387,1.37
0,1.67346,2.54,5.10182,19786.3,3304,10445,2.45
0,2.5152549,2.386,13.4294,4740.94,2311,5915,2.11
1,0.4628844,0.5588219,1.3543237,64.718104,723.3961549,3043,0.188624
0,0.70902,2.49,5.18865,65312,4453,8999,2.36
1,2.237462,2.991,10.2256,3143.23,2085,7050,1.66
1,1.9173816,1.466,17.5081,1941.36,1849,8129,7.39
0,9.6926509,2.819,13.5133,198.127,1045,6012,3.51
1,1.7753644,2.034,9.49405,7558.32,2597,9598,3.23
0,1.8286961,3.37,21.4433,18194.7,3235,6046.3,1.23
0,14.8626982,3.3250502,26.5090911,202.6095767,962.2429589,5705,1.73364
0,2.0881134,2.307,5.41738,8383.12,2665,6255.8,1.7
0,1.25562,2.304,2.95064,2790.4,2024,5717,1.72
0,7.6047417,5.23,6.14418,2393.29,1948,9139,1.8
0,4.8173797,1.323,1.71137,33.919,672,4651,0.69
0,5.2651271,2.463,11.2446,2619.14,1993,8728,1.7
0,6.1600888,1.67,8.22262,143.457,964,5772,1.55
1,3.8529998,3.225,15.4014,1099.44,1604,6893.4,1.57
0,1.06884,2.512,10.3628,32361.2,3736,9222,4.94
0,5.4561177,3.1,5.78741,796.96,1480,7465,1.51
0,1.7380504,1.496,4.42263,787.969,1476,6026,1.45
0,5.7785318,2.348,42.6903,2264.51,1921,8224,2.92
0,1.41072,2.623,8.4993,2001.09,1863,5197,3.84
1,6.5601782,4.058,28.2675,20126.7,3318,9976,2.62
0,0.44482,1.058,10.8884,14152.2,3038,7184,1.88
0,1.532703,2.698,10.8699,26916.4,3568,6023.1,1.39
0,0.7131492,2.428,4.89712,18159.7,3234,5128.9,1.93
1,25.8386422,5.209,4.31235,32.9135,667,5769,1.03
0,0.78381,1.443,3.89595,9401.36,2743,7842,1.72
1,4.4652986,2.502,14.5331,259.687,1118,6051.2,1.18
1,11.0708575,2.1937617,2.3337648,22.4219066,554.9934842,4356,0.700727
0,2.6380089,3.55,12.8098,26423.9,3551,7495,2.5
0,2.7260173,2.703,4.98036,4788.29,2317,5256,0.79
0,2.86876,2.422,8.48351,2571.69,1983,8342,2.65
0,2.958148,3.769,4.47387,4739.26,2311,6294,1.58
0,0.98736,1.464,3.41784,2591.32,1987,6301.3,1.69
0,3.99307,4.783,6.35126,1282.52,1667,4731.1,0.93
0,8.6795072,3.628,24.132,578.958,1366,6057,1.14
0,1.3812787,2.4,5.91488,24595.6,3488,6483,1.38
