class,period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS
1,3.166353562,3.3129,1470.0,3.82,1273.0,621.92,6007.0,0.998
0,23.89963441,3.81881,21000.0,44.04,652.0,42.8,6192.0,0.924
1,3.388012244,2.6849,280.0,2.11,1315.0,705.93,5553.0,1.25
1,5.83909761,3.1915,274.0,2.06,1097.0,341.48,5553.0,1.25
1,1.620467654,2.1888,160.0,1.57,1681.0,1893.42,5553.0,1.25
1,10.6816951,3.605,308.0,2.3,897.0,152.75,5553.0,1.25
1,6.104849417,4.6912,2090.0,3.18,784.0,89.25,5085.0,0.712
1,3.578780566,2.91089,11400.0,10.43,1145.0,406.6,5524.0,0.994
0,3.187067566,3.119,1040.0,23.88,1079.0,319.76,5450.0,0.811
1,5.826657508,2.9183,1540.0,4.09,1013.0,248.57,5561.0,1.06
1,12.41216347,3.739,611.0,2.58,787.0,90.65,5561.0,1.06
1,18.74649011,3.895,797.0,3.05,686.0,52.38,5561.0,1.06
1,20.86021229,5.1937,1910.0,5.5,781.0,87.76,6035.0,1.257
1,42.63427848,6.1998,1720.0,5.22,615.0,33.82,6035.0,1.257
1,87.6476068,8.871,1010.0,4.0,484.0,12.94,6035.0,1.257
1,9.61731426,3.8692,234.0,1.94,1010.0,246.13,6035.0,1.257
1,9.467821474,2.4327,2240.0,2.13,407.0,6.47,3582.0,0.458
1,0.893040969,1.0981,742.0,1.24,893.0,151.14,3582.0,0.458
1,4.942783419,3.25346,11100.0,10.62,1008.0,244.42,5514.0,0.978
1,20.83426731,4.0454,988.0,2.74,595.0,29.62,5537.0,0.88
1,9.94602357,3.3862,995.0,3.12,807.0,100.34,5344.0,1.013
1,1.04562195,1.8955,213.0,1.45,1710.0,2031.84,5344.0,1.013
1,5.71462396,2.336,298.0,1.78,971.0,210.16,5344.0,1.013
0,102.9641952,15.735,1900.0,39.0,797.0,95.4,5047.0,7.119
1,8.14515981,5.073,447.0,3.43,1050.0,287.91,5896.0,1.24
1,18.9985279,4.529,431.0,43.17,792.0,93.03,5896.0,1.24
1,4.24439049,3.282,174.0,2.07,1305.0,686.99,5896.0,1.24
1,90.1240507,11.649,3020.0,7.12,485.0,13.09,6520.0,1.215
1,28.5742692,4.9427,825.0,2.32,538.0,19.83,5551.0,0.812
1,856.672115,23.144,858.0,3.87,242.0,0.81,6449.0,1.309
1,0.689210173,1.6169,195.0,1.32,1943.0,3362.71,5630.0,0.954
1,7.34373964,1.1784,574.0,1.84,839.0,117.5,5757.0,0.762
