class,period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS
1,6.76652928,2.9004,4.51E+02,1.97,845,120.48,5149,0.93
1,4.347288783,2.1024,4.52E+02,2.36,1174,449.79,5754,1.122
1,4.601811819,2.2607,7.56E+02,2.35,896,152.91,4986,0.833
1,11.18719905,3.252,3.54E+02,1.55,667,46.65,4986,0.833
1,4.220965778,3.0854,2.26E+03,2.62,595,29.68,3837,0.517
0,6.998099523,2.0488,2.03E+04,588.66,853,125.22,5612,0.829
1,5.95489993,2.3892,1.41E+03,2.33,635,38.52,4261,0.633
1,12.03987488,2.7363,1.25E+03,2.18,502,15.06,4261,0.633
1,20.83762895,2.3734,4.39E+02,1.42,418,7.24,4261,0.633
0,8.8111022,5.0683,4.01E+02,63.66,1399,904.92,6200,2.404
1,23.58917143,5.073,1.20E+03,3.16,487,13.34,4919,0.721
1,6.481633073,3.784,2.99E+02,2.54,1145,406.25,5945,1.302
1,10.37168928,3.035,1.25E+03,3.2,720,63.68,5121,0.888
1,3.96996298,1.1757,2.99E+02,1.78,992,229.37,5121,0.888
1,4.40841331,5.012,5.49E+02,2.66,1139,398,6007,0.961
0,7.9426176,6.703,1.59E+03,4.68,878,140.57,5811,0.926
1,226.8904775,7.558,3.14E+03,4.53,236,0.73,5067,0.75
0,1.956811408,2.1958,2.49E+04,21.58,1109,357.16,5209,0.603
1,2.688899233,2.11275,3.75E+04,12.04,929,175.76,4820,0.639
1,9.439459486,2.8979,3.04E+03,4.16,686,52.32,5097,0.779
1,11.52306746,3.8757,5.07E+02,3.13,927,174.81,5644,1.411
1,20.47748843,2.8364,1.38E+03,2.92,530,18.65,5097,0.779
1,3.336123113,1.9616,5.16E+02,1.74,970,209.79,5097,0.779
1,8.01078456,2.312,1.33E+03,1.72,453,9.9,3713,0.47
1,12.07134205,4.3224,7.59E+02,1.29,395,5.74,3713,0.47
1,20.99587872,2.6333,7.67E+02,1.3,328,2.74,3713,0.47
1,7.41113177,2.5242,6.21E+02,2.45,905,158.11,5849,0.919
0,1.000747038,0.9967,1.82E+03,4.14,1620,1635.2,5472,0.79
1,8.884922995,2.07004,1.61E+04,10.51,770,83.21,5332,0.843
1,8.09888906,4.20241,6.91E+03,8.95,986,223.19,6214,1.076
1,10.00653012,5.344,9.36E+02,3.52,876,139.21,6063,1.001
1,17.85522168,7.41287,9.07E+03,13.16,911,163.04,6823,1.367
1,12.73262407,2.2083,6.47E+03,4.87,432,8.22,3950,0.541
1,83.92494032,6.7904,7.96E+03,4.78,226,0.62,3960,0.509
1,5.007316661,4.2362,6.93E+03,6.96,998,234.28,5865,0.827
1,2.211116989,1.6485,7.24E+02,1.85,931,177.19,4500,0.646
1,27.9541337,3.95,9.43E+02,1.9,400,6.04,4500,0.646
1,12.69104387,3.7727,2.52E+02,2.57,1008,244.3,5869,1.626
0,4.409409243,3.8636,1.29E+04,10.95,1101,347.06,5600,0.975
1,16.23947096,4.0374,2.59E+03,4.14,598,30.14,5191,0.837
1,6.308201629,2.9785,1.33E+03,2.96,819,106.44,5191,0.837
1,2.052349884,2.0778,1.43E+04,13.12,1497,1183.18,5855,1.08
1,9.7704486,2.4517,1.90E+03,2.23,460,10.59,3906,0.509
1,5.169804269,2.153,1.04E+03,1.66,569,24.75,3906,0.509
1,21.22261195,6.5093,3.66E+02,2.48,771,83.56,5945,1.302
1,20.09017037,4.154,1.43E+03,2.25,362,4.05,3906,0.509
1,7.11373257,2.1764,8.08E+02,1.16,429,8.01,3561,0.411
1,3.306551643,1.8177,5.09E+02,0.91,554,22.19,3561,0.411
1,15.36845737,2.4714,7.56E+02,1.11,332,2.86,3561,0.411
1,13.81020318,3.048,1.31E+03,4.56,833,113.75,5942,1.142
1,4.093578461,2.5833,5.39E+02,2.85,1182,461.07,6077,0.999
1,105.145959,8.593,6.85E+02,3.43,401,6.09,6077,0.999
1,10.8484518,2.9993,1.68E+03,2.34,499,14.66,4201,0.591
1,6.66833241,1.915,3.62E+02,1.18,587,28.06,4201,0.591
1,4.082274889,3.23015,1.79E+04,10.55,1016,251.48,5655,0.794
1,3.886655224,3.1646,5.82E+02,1.87,1010,246.29,5662,0.738
1,42.1406089,5.083,8.96E+02,1.85,349,3.49,4500,0.646
1,4.617490562,2.2618,5.76E+02,1.62,728,66.47,4500,0.646
1,10.19849255,2.4283,6.34E+02,1.75,559,23.11,4500,0.646
0,5.795063956,3.2496,1.69E+03,4.33,950,192.74,5865,0.827
1,7.15681552,2.5882,8.67E+02,2.47,782,88.23,5029,0.838
1,17.64830851,2.0873,7.63E+02,2.43,579,26.49,5029,0.838
1,4.14810719,2.535,1.75E+02,1.08,938,182.76,5029,0.838
1,16.51410989,4.1575,9.74E+02,2.72,655,43.57,5527,0.866
1,30.1329298,5.172,1.02E+03,3.14,536,19.55,5527,0.866
1,4.79090809,2.603,2.51E+02,1.36,990,227.24,5527,0.866
1,31.71981013,4.819,3.63E+02,3.09,743,71.97,5869,1.626
1,99.6415962,4.448,9.53E+02,2.64,360,3.97,5527,0.866
1,4.708326451,3.16114,7.91E+03,10.6,1162,431.02,5560,1.21
0,16.37198661,3.8449,4.15E+03,540.37,438,8.71,4187,0.592
1,5.392026903,2.9804,1.15E+03,2.68,850,123.33,5198,0.801
1,2.494170338,1.1221,8.64E+02,2.42,1194,480.19,5569,0.829
1,6.491682808,4.301,7.16E+03,9.66,1062,301.54,6123,1.107
0,3.044770796,10.0134,1.70E+03,24.54,1076,317.36,5525,0.753
1,3.855603916,3.2179,1.67E+04,13.61,1212,508.65,6033,1.046
0,3.855599139,3.183,1.03E+03,3.57,1158,425.74,5936,0.965
0,38.47876629,5.04169,2.35E+04,13.26,484,13.01,5510,0.879
0,37.60166128,8.30604,5.91E+04,27.22,606,31.86,6140,1.096
1,3.314947362,1.8007,1.40E+03,3.94,1155,421.03,5609,0.944
0,6.71969089,3.0231,9.70E+02,4.37,952,194.18,5931,0.866
1,39.6431552,6.5292,1.57E+04,10.98,472,11.74,5231,0.9
0,51.42598578,16.9422,6.61E+04,29.66,549,21.4,6257,1.147
1,21.80451611,3.4097,1.14E+03,2.6,543,20.48,5481,0.708
1,10.28194593,3.4366,1.11E+03,2.53,680,50.6,5196,0.775
1,18.11993039,4.2309,1.51E+03,2.95,563,23.77,5196,0.775
1,3.78402867,1.9012,4.26E+02,1.7,949,191.78,5196,0.775
1,5.15448142,3.228,6.98E+02,2.94,964,204.1,5431,0.884
0,33.80364366,11.4813,1.35E+04,20.7,745,72.71,5855,1.796
1,5.743469797,3.4412,1.24E+03,3.13,982,219.95,5897,0.891
1,39.4759093,2.968,1.01E+03,4.06,577,26.13,6225,1.031
0,19.97448524,4.23479,4.03E+04,26.56,700,56.84,6108,0.997
1,3.166353562,3.3129,1.47E+03,3.82,1273,621.92,6007,0.998
0,23.89963441,3.81881,2.10E+04,44.04,652,42.8,6192,0.924
1,3.388012244,2.6849,2.80E+02,2.11,1315,705.93,5553,1.25
1,5.83909761,3.1915,2.74E+02,2.06,1097,341.48,5553,1.25
1,1.620467654,2.1888,1.60E+02,1.57,1681,1893.42,5553,1.25
1,10.6816951,3.605,3.08E+02,2.3,897,152.75,5553,1.25
1,6.104849417,4.6912,2.09E+03,3.18,784,89.25,5085,0.712
1,3.578780566,2.91089,1.14E+04,10.43,1145,406.6,5524,0.994
0,3.187067566,3.119,1.04E+03,23.88,1079,319.76,5450,0.811
1,5.826657508,2.9183,1.54E+03,4.09,1013,248.57,5561,1.06
1,12.41216347,3.739,6.11E+02,2.58,787,90.65,5561,1.06
1,18.74649011,3.895,7.97E+02,3.05,686,52.38,5561,1.06
1,20.86021229,5.1937,1.91E+03,5.5,781,87.76,6035,1.257
1,42.63427848,6.1998,1.72E+03,5.22,615,33.82,6035,1.257
1,87.6476068,8.871,1.01E+03,4,484,12.94,6035,1.257
1,9.61731426,3.8692,2.34E+02,1.94,1010,246.13,6035,1.257
1,9.467821474,2.4327,2.24E+03,2.13,407,6.47,3582,0.458
1,0.893040969,1.0981,7.42E+02,1.24,893,151.14,3582,0.458
1,4.942783419,3.25346,1.11E+04,10.62,1008,244.42,5514,0.978
1,20.83426731,4.0454,9.88E+02,2.74,595,29.62,5537,0.88
1,9.94602357,3.3862,9.95E+02,3.12,807,100.34,5344,1.013
1,1.04562195,1.8955,2.13E+02,1.45,1710,2031.84,5344,1.013
1,5.71462396,2.336,2.98E+02,1.78,971,210.16,5344,1.013
0,102.9641952,15.735,1.90E+03,39,797,95.4,5047,7.119
1,8.14515981,5.073,4.47E+02,3.43,1050,287.91,5896,1.24
1,18.9985279,4.529,4.31E+02,43.17,792,93.03,5896,1.24
1,4.24439049,3.282,1.74E+02,2.07,1305,686.99,5896,1.24
1,90.1240507,11.649,3.02E+03,7.12,485,13.09,6520,1.215
1,28.5742692,4.9427,8.25E+02,2.32,538,19.83,5551,0.812
1,856.672115,23.144,8.58E+02,3.87,242,0.81,6449,1.309
1,0.689210173,1.6169,1.95E+02,1.32,1943,3362.71,5630,0.954
1,7.34373964,1.1784,5.74E+02,1.84,839,117.5,5757,0.762
0,0.445277068,3.539,1.87E+02,35.74,2562,10177.11,6167,1.064
0,0.379463865,0.86896,1.97E+03,59.56,3000,19256.81,5075,1.783
0,9.88047978,2.78458,1.85E+04,23.6,860,129.45,6113,0.917
0,4.6484156,38.1939,1.28E+02,5.06,2259,6152.88,6980,3.482
0,17.51201477,1.8248,4.51E+03,13.66,804,98.77,6224,1.132
1,3.9886021,1.7376,6.74E+02,34.39,3145,23135.72,4813,13.652
1,0.533059312,1.8621,1.50E+03,133.56,5862,277887.7,8523,4.051
