class,period,tranDur,tranDep,radE,earthFlux,eqTemp,radS,st_rad
1,2.6282553,2.0930597,75.2858004,0.9817044,1418.114438,955.7979966,6282,1.10743
1,3.4239436,1.9601023,443.6391381,1.7581475,1056.380055,294.3078003,5626,0.823019
1,10.983042,3.7478987,725.1724567,2.5070075,716.2888325,62.2119369,5626,0.823019
1,17.726449,3.4404719,747.7725499,2.261664,610.6445415,32.8605569,5626,0.823019
1,40.7199388,4.2436925,355.619391,3.2352713,668.3063106,47.143655,5914,1.55953
0,79.3739596,5.392,1227,2.17454,368,3.05331,5168.33,0.77
1,18.1663644,2.464,624,2.80447,562,16.6472,5572.9,1.14
1,105.5850893,11.6068811,462.9116325,2.5033335,429.5758177,8.047858,5909.57,1.1142
0,27.2149622,3.7190483,4731.404623,8.3475973,573.0537137,25.4860381,6270,0.989667
1,19.1807264,3.9621084,544.5602695,2.4311768,611.0168649,32.9407734,5262.4,0.937973
1,1.2124493,0.9984653,501.2911711,0.879419,1092.125026,336.2098533,3751,0.518
1,4.5541831,7.8146963,187.8286128,0.8887417,694.0557871,54.8401357,4280,0.635812
1,41.4856125,6.6899368,959.7522291,12.5121956,1035.00054,271.196017,6354,3.4868701
1,13.7738265,2.9992376,338.2166234,1.8971927,730.4597521,67.2831271,5455.96,1.01825
1,1.9142544,3.256,248,2.04421,2462,6105.33,6734,1.59
1,5.0780325,1.2100353,5923.128307,2.6347763,431.253644,8.1743139,3318,0.334125
1,91.6827832,9.7504857,713.2183569,3.239855,399.0780255,5.9944903,5802,1.01814
1,10.1944993,2.2648785,317.3261147,2.7392825,994.4291411,231.1087411,6082,1.32661
0,14.64319,2.5483426,242.7923919,3.41248,1134.279147,391.2017546,6516,2.04178
1,4.1782656,1.675904,2537.67816,2.1023854,492.7241583,13.9295288,3442,0.404403
1,17.9453645,3.0740072,5480.684864,3.3839124,303.1226876,1.9952383,3442,0.404403
1,13.896396,3.5885605,748.5332881,2.4586343,686.1495861,52.3837065,5522.87,0.888163
1,8.1213102,3.1040945,594.6443745,2.3157186,820.6868999,107.208941,5522.87,0.888163
1,3.9287851,1.8165271,485.9762569,2.329279,1123.439869,376.4612937,5668.15,0.986943
1,27.3613778,4.0586418,20690.66843,6.4522449,243.7718547,0.8345555,3050,0.44128
1,29.0497517,7.117,318,2.84674,1115,257.066,8208,1.8
1,3.3088922,6.114,4736,24.9862,3184,17074.7,6188,2.62
1,25.0571312,7.5424225,533.486013,3.2396838,688.6094029,53.1389289,5696,1.15281
1,24.2454967,3.3725583,6260.67036,3.878568,122.2177444,0.05273,3535,0.465271
1,14.2545623,4.7250029,7899.693956,10.7048234,785.7055082,90.0658585,5739,1.09597
1,14.1758947,3.7543827,907.1324529,2.6231641,690.9961983,53.8795095,5723.87,0.864173
1,19.5901578,4.002861,1182.667864,3.0026428,620.3638839,35.0031418,5723.87,0.864173
1,6.2036219,3.01098,548.9044399,2.056748,910.1452592,162.1675094,5723.87,0.864173
1,3.79589,2.4602856,317.5272928,1.553135,1072.065399,312.1807495,5723.87,0.864173
0,2.2645386,3.8193701,15019.94209,5.1936764,616.7174475,34.1873897,3443,0.411471
1,3.4447015,1.912,796,2.00495,1086,231.437,3912,0.63
1,3.0300715,2.5466671,21794.6137,12.7529892,1077.414594,318.4581858,5242.82,0.857369
1,12.72038,2.401,1070,4.96046,705,41.1042,6212,1.48
1,6.238755,3.6178567,373.5681138,2.9728283,1255.46077,587.1290759,6212,1.47768
1,3.2947689,1.7483103,1324.040277,2.5248559,700.5995436,56.9377632,3853,0.62326
