period,tranDur,tranDep,radE,earthFlux,eqTemp,effTemp,radS,confidence_positive
5.79529495,2.272,334.0,1.05,534.0,19.23,3757.0,0.539,1.0
288.94276,11.43,161.0,1.05,265.0,1.16,5786.0,0.827,0.5495479
7.04716175,2.693,151.0,1.1,817.0,105.1,5496.0,0.776,0.99999964
425.22927,6.76,829.0,1.4,125.0,0.06,3803.0,0.492,0.99999404
0.514771509,1.256,43.4,0.57,2113.0,4749.21,5730.0,0.87,0.9999999
0.9017685,0.635,958.0,4.77441,1280.0,446.986,5828.0,1.36,1.0
4.2186625,3.2580998,18527.65252,13.6976778,1071.660327,311.7091966,5425.9,1.0068901,0.9999758
5.6605693,1.6631704,3856.106085,2.4070872,452.8709226,9.9407408,3551.0,0.374358,1.0
3.334884,2.559,12501.0,10.5691,1241.0,394.819,5771.0,0.93,0.99998665
8.76905,3.504,14361.0,21.0089,1341.0,538.251,5906.8,1.59,0.999995
4.20601251,6.82,107.0,0.82,1004.0,239.82,5514.0,0.79,0.99989784
19.0054098,1.843,542.0,28.47,758.0,78.19,6347.0,1.036,0.99960667
5.3333965,5.577,2710.0,13.3147,1513.0,871.955,5840.8,2.53,1.0
1.1894812,3.047,4130.0,9.44872,2714.0,9015.13,6550.0,1.5,0.99997175
3.408833,3.163,16032.0,14.2632,1430.0,695.65,6134.0,1.11,0.9998605
1.7622537,0.8779711,733.5550822,2.5235818,1186.606643,468.5415425,4965.0,0.784109,1.0
5.748815953,1.9216,11700.0,26.94,799.0,96.29,4961.0,0.753,0.99996006
0.914468919,2.695,3430.0,36.84,1884.0,2978.16,5762.0,0.989,0.9972019
350.81029,11.29,538.0,2.86,282.0,1.51,5841.0,1.226,0.9504388
0.637487312,1.9626,211.0,1.75,2334.0,7053.67,6173.0,1.083,0.9999982
15.4130812,6.6358,264.0,2.59,944.0,187.39,6206.0,1.573,0.9999969
26.1442304,2.368,1980.0,8.19739,681.0,35.8503,5721.0,1.08,0.99999964
2.6282606,1.2408211,731.2082684,2.8331017,1037.819798,274.1629769,4821.0,0.817034,1.0
1.96134311,11.856,208.0,41.53,2167.0,5197.02,6221.0,2.198,0.4360378
